id,restaurant,dish,cuisine,price,rating,city,area,dietary,spicy,mood_tags,meal_type,distance_km,delivery_minutes,image_url
23,Royal Biryani,Margherita Pizza,Italian,250,3.9,Gwalior,Thatipur,Vegetarian,False,"happy, comfort, social","lunch, dinner",2.6,30,"https://loremflickr.com/800/600/margherita,pizza?lock=23"
24,Cafe Aroma,Veg Thali,North Indian,210,4.0,Gwalior,Mahalgaon,Vegetarian,False,"comfort, tired, healthy","lunch, dinner",4.8,39,"https://loremflickr.com/800/600/veg,thali?lock=24"
25,Rajasthani Rasoi,Malai Kofta,North Indian,240,4.1,Gwalior,Lashkar,Vegetarian,False,"comfort, happy","lunch, dinner",5.0,30,"https://loremflickr.com/800/600/malai,kofta?lock=25"
26,Sweet & Savoury,Cheese Maggi,Fast Food,130,3.8,Gwalior,City Centre,Vegetarian,False,"comfort, tired, happy","snacks, dinner",1.3,18,"https://loremflickr.com/800/600/cheese,maggi?lock=26"
27,The Food Factory,Paneer Momos,Tibetan,190,3.9,Gwalior,Morar,Vegetarian,True,"happy, adventurous","snacks, dinner",5.7,38,"https://loremflickr.com/800/600/paneer,momos?lock=27"
28,Masala Magic,Fruit Bowl,Healthy,140,4.1,Gwalior,Hazira,Vegetarian,False,"healthy, relaxed, tired","breakfast, snacks",8.0,44,"https://loremflickr.com/800/600/fruit,bowl?lock=28"
29,Pizza Craft,Mango Shake,Beverage,130,4.6,Gwalior,Thatipur,Vegetarian,False,"happy, relaxed","breakfast, snacks",2.0,28,"https://loremflickr.com/800/600/mango,shake?lock=29"
30,Burger Station,Dal Makhani,North Indian,210,4.7,Gwalior,University Road,Vegetarian,False,"comfort, tired, relaxed","lunch, dinner",5.9,41,"https://loremflickr.com/800/600/dal,makhani?lock=30"
31,Tandoori House,Chicken Hakka Noodles,Chinese,230,3.8,Gwalior,City Centre,Non-Vegetarian,True,"tired, adventurous, happy","lunch, dinner",2.3,26,"https://loremflickr.com/800/600/chicken,hakka,noodles?lock=31"
32,The Spice Route,Samosa Chaat,Street Food,120,4.7,Gwalior,Lashkar,Vegetarian,True,"happy, social, comfort",snacks,2.4,27,"https://loremflickr.com/800/600/samosa,chaat?lock=32"
33,Gwalior Zaika,Chicken Burger,Fast Food,200,4.3,Gwalior,Thatipur,Non-Vegetarian,True,"happy, adventurous, comfort","lunch, snacks, dinner",2.4,28,"https://loremflickr.com/800/600/chicken,burger?lock=33"
34,Royal Rasoi,Kadhi Chawal,North Indian,190,4.4,Gwalior,Morar,Vegetarian,False,"comfort, tired, healthy",lunch,5.4,31,"https://loremflickr.com/800/600/kadhi,chawal?lock=34"
35,Swaad Junction,Poha,Indian,110,3.9,Gwalior,Mahalgaon,Vegetarian,False,"healthy, tired, relaxed",breakfast,6.3,44,https://loremflickr.com/800/600/poha?lock=35
36,Urban Tadka,Chicken Fried Rice,Chinese,200,4.4,Gwalior,City Centre,Non-Vegetarian,True,"comfort, adventurous, happy","lunch, dinner",2.5,22,"https://loremflickr.com/800/600/chicken,fried,rice?lock=36"
37,Shree Bhojan,Veg Sandwich,Fast Food,120,4.7,Gwalior,Phalka Bazar,Vegetarian,False,"healthy, tired, happy","breakfast, snacks",3.9,29,"https://loremflickr.com/800/600/veg,sandwich?lock=37"
38,Desi Zaika,Lassi,Beverage,60,4.0,Gwalior,Hazira,Vegetarian,False,"relaxed, happy, tired","breakfast, snacks",5.8,31,https://loremflickr.com/800/600/lassi?lock=38
39,Food Street Gwalior,Ice Cream Sundae,Dessert,170,4.2,Gwalior,Thatipur,Vegetarian,False,"happy, social, relaxed","snacks, dessert",2.3,30,"https://loremflickr.com/800/600/ice,cream,sundae?lock=39"
40,The Green Bowl,Mutton Biryani,Biryani,360,3.8,Gwalior,University Road,Non-Vegetarian,True,"adventurous, happy","lunch, dinner",5.5,42,"https://loremflickr.com/800/600/mutton,biryani?lock=40"
41,Curry Culture,Idli Sambar,South Indian,100,4.0,Gwalior,Lashkar,Vegetarian,False,"healthy, tired, relaxed","breakfast, lunch",4.6,32,"https://loremflickr.com/800/600/idli,sambar?lock=41"
42,Madhya Rasoi,Margherita Pizza,Italian,240,4.7,Gwalior,Morar,Vegetarian,False,"happy, comfort, social","lunch, dinner",6.0,40,"https://loremflickr.com/800/600/margherita,pizza?lock=42"
43,Chai & Bites,Veg Thali,North Indian,220,4.0,Gwalior,City Centre,Vegetarian,False,"comfort, tired, healthy","lunch, dinner",3.8,33,"https://loremflickr.com/800/600/veg,thali?lock=43"
44,Indore Namkeen House,Malai Kofta,North Indian,240,4.7,Gwalior,Thatipur,Vegetarian,False,"comfort, happy","lunch, dinner",3.8,28,"https://loremflickr.com/800/600/malai,kofta?lock=44"
45,The Dosa Corner,Cheese Maggi,Fast Food,110,4.1,Gwalior,Mahalgaon,Vegetarian,False,"comfort, tired, happy","snacks, dinner",4.9,31,"https://loremflickr.com/800/600/cheese,maggi?lock=45"
46,Punjab Grill House,Paneer Momos,Tibetan,160,3.7,Gwalior,Lashkar,Vegetarian,True,"happy, adventurous","snacks, dinner",4.0,26,"https://loremflickr.com/800/600/paneer,momos?lock=46"
47,South Spice,Fruit Bowl,Healthy,120,4.7,Gwalior,University Road,Vegetarian,False,"healthy, relaxed, tired","breakfast, snacks",6.4,33,"https://loremflickr.com/800/600/fruit,bowl?lock=47"
48,Cafe Central,Mango Shake,Beverage,110,4.0,Gwalior,City Centre,Vegetarian,False,"happy, relaxed","breakfast, snacks",2.5,28,"https://loremflickr.com/800/600/mango,shake?lock=48"
49,Flavours of India,Dal Makhani,North Indian,210,4.7,Gwalior,Morar,Vegetarian,False,"comfort, tired, relaxed","lunch, dinner",5.3,35,"https://loremflickr.com/800/600/dal,makhani?lock=49"
50,Biryani Junction,Veg Hakka Noodles,Chinese,210,4.2,Gwalior,Hazira,Vegetarian,True,"tired, happy, adventurous","lunch, dinner",5.0,29,"https://loremflickr.com/800/600/veg,hakka,noodles?lock=50"
51,Healthy Plate,Aloo Tikki,Street Food,110,4.2,Gwalior,University Road,Vegetarian,True,"happy, adventurous, social",snacks,4.4,32,"https://loremflickr.com/800/600/aloo,tikki?lock=51"
52,Street Food Hub,Veg Burger,Fast Food,180,3.8,Gwalior,Phalka Bazar,Vegetarian,False,"happy, tired, comfort","lunch, snacks, dinner",3.3,31,"https://loremflickr.com/800/600/veg,burger?lock=52"
53,Royal Biryani,Rajma Chawal,North Indian,150,4.1,Gwalior,Thatipur,Vegetarian,False,"comfort, tired, relaxed",lunch,3.4,34,"https://loremflickr.com/800/600/rajma,chawal?lock=53"
54,Cafe Aroma,Fish Curry Rice,Indian,280,3.9,Gwalior,Mahalgaon,Non-Vegetarian,True,"adventurous, healthy","lunch, dinner",4.6,29,"https://loremflickr.com/800/600/fish,curry,rice?lock=54"
55,Rajasthani Rasoi,Veg Fried Rice,Chinese,160,4.0,Gwalior,Lashkar,Vegetarian,True,"comfort, tired, happy","lunch, dinner",2.4,32,"https://loremflickr.com/800/600/veg,fried,rice?lock=55"
56,Sweet & Savoury,Chicken Pasta,Italian,270,4.6,Gwalior,City Centre,Non-Vegetarian,False,"comfort, happy, adventurous","lunch, dinner",3.4,24,"https://loremflickr.com/800/600/chicken,pasta?lock=56"
57,The Food Factory,Chicken Salad,Healthy,250,4.8,Gwalior,Morar,Non-Vegetarian,False,"healthy, adventurous, tired","lunch, dinner",6.3,44,"https://loremflickr.com/800/600/chicken,salad?lock=57"
58,Masala Magic,Brownie,Dessert,170,4.6,Gwalior,Hazira,Vegetarian,False,"comfort, happy, tired","snacks, dessert",3.8,31,https://loremflickr.com/800/600/brownie?lock=58
59,Pizza Craft,Chicken Biryani,Biryani,270,4.7,Gwalior,Thatipur,Non-Vegetarian,True,"happy, adventurous, comfort","lunch, dinner",5.6,32,"https://loremflickr.com/800/600/chicken,biryani?lock=59"
60,Burger Station,Masala Dosa,South Indian,120,4.8,Gwalior,University Road,Vegetarian,True,"healthy, tired, relaxed","breakfast, lunch",3.7,34,"https://loremflickr.com/800/600/masala,dosa?lock=60"
61,Tandoori House,Margherita Pizza,Italian,250,4.0,Gwalior,City Centre,Vegetarian,False,"happy, comfort, social","lunch, dinner",3.0,31,"https://loremflickr.com/800/600/margherita,pizza?lock=61"
62,The Spice Route,Veg Thali,North Indian,230,4.3,Gwalior,Lashkar,Vegetarian,False,"comfort, tired, healthy","lunch, dinner",4.0,27,"https://loremflickr.com/800/600/veg,thali?lock=62"
63,Gwalior Zaika,Malai Kofta,North Indian,240,3.9,Gwalior,Thatipur,Vegetarian,False,"comfort, happy","lunch, dinner",2.2,29,"https://loremflickr.com/800/600/malai,kofta?lock=63"
64,Royal Rasoi,Cheese Maggi,Fast Food,110,4.5,Gwalior,Morar,Vegetarian,False,"comfort, tired, happy","snacks, dinner",3.2,30,"https://loremflickr.com/800/600/cheese,maggi?lock=64"
65,Swaad Junction,Paneer Momos,Tibetan,180,4.7,Gwalior,Mahalgaon,Vegetarian,True,"happy, adventurous","snacks, dinner",4.6,28,"https://loremflickr.com/800/600/paneer,momos?lock=65"
66,Urban Tadka,Fruit Bowl,Healthy,150,3.8,Gwalior,City Centre,Vegetarian,False,"healthy, relaxed, tired","breakfast, snacks",1.7,26,"https://loremflickr.com/800/600/fruit,bowl?lock=66"
67,Shree Bhojan,Mango Shake,Beverage,140,4.6,Gwalior,Phalka Bazar,Vegetarian,False,"happy, relaxed","breakfast, snacks",2.4,32,"https://loremflickr.com/800/600/mango,shake?lock=67"
68,Desi Zaika,Dal Makhani,North Indian,200,4.0,Gwalior,Hazira,Vegetarian,False,"comfort, tired, relaxed","lunch, dinner",6.0,39,"https://loremflickr.com/800/600/dal,makhani?lock=68"
69,Food Street Gwalior,Veg Hakka Noodles,Chinese,180,4.4,Gwalior,Thatipur,Vegetarian,True,"tired, happy, adventurous","lunch, dinner",4.3,30,"https://loremflickr.com/800/600/veg,hakka,noodles?lock=69"
70,The Green Bowl,Aloo Tikki,Street Food,90,3.9,Gwalior,University Road,Vegetarian,True,"happy, adventurous, social",snacks,5.7,33,"https://loremflickr.com/800/600/aloo,tikki?lock=70"
71,Curry Culture,Veg Burger,Fast Food,160,3.8,Gwalior,Lashkar,Vegetarian,False,"happy, tired, comfort","lunch, snacks, dinner",3.8,30,"https://loremflickr.com/800/600/veg,burger?lock=71"
72,Madhya Rasoi,Rajma Chawal,North Indian,200,4.7,Gwalior,Morar,Vegetarian,False,"comfort, tired, relaxed",lunch,3.0,30,"https://loremflickr.com/800/600/rajma,chawal?lock=72"
73,Chai & Bites,Fish Curry Rice,Indian,300,4.8,Gwalior,City Centre,Non-Vegetarian,True,"adventurous, healthy","lunch, dinner",1.4,20,"https://loremflickr.com/800/600/fish,curry,rice?lock=73"
74,Indore Namkeen House,Veg Fried Rice,Chinese,170,3.8,Gwalior,Thatipur,Vegetarian,True,"comfort, tired, happy","lunch, dinner",3.4,24,"https://loremflickr.com/800/600/veg,fried,rice?lock=74"
75,The Dosa Corner,Chicken Pasta,Italian,260,4.1,Gwalior,Mahalgaon,Non-Vegetarian,False,"comfort, happy, adventurous","lunch, dinner",3.1,33,"https://loremflickr.com/800/600/chicken,pasta?lock=75"
76,Punjab Grill House,Chicken Salad,Healthy,250,4.0,Gwalior,Lashkar,Non-Vegetarian,False,"healthy, adventurous, tired","lunch, dinner",4.9,38,"https://loremflickr.com/800/600/chicken,salad?lock=76"
77,South Spice,Brownie,Dessert,150,3.7,Gwalior,University Road,Vegetarian,False,"comfort, happy, tired","snacks, dessert",6.2,35,https://loremflickr.com/800/600/brownie?lock=77
78,Cafe Central,Chicken Biryani,Biryani,300,3.8,Gwalior,City Centre,Non-Vegetarian,True,"happy, adventurous, comfort","lunch, dinner",3.5,27,"https://loremflickr.com/800/600/chicken,biryani?lock=78"
79,Flavours of India,Masala Dosa,South Indian,120,4.5,Gwalior,Morar,Vegetarian,True,"healthy, tired, relaxed","breakfast, lunch",3.6,27,"https://loremflickr.com/800/600/masala,dosa?lock=79"
80,Biryani Junction,Dahi Puri,Street Food,100,4.5,Gwalior,Hazira,Vegetarian,True,"happy, social, relaxed",snacks,4.0,33,"https://loremflickr.com/800/600/dahi,puri?lock=80"
81,Healthy Plate,Chicken Wrap,Fast Food,220,4.3,Gwalior,University Road,Non-Vegetarian,True,"adventurous, happy","lunch, snacks",3.6,36,"https://loremflickr.com/800/600/chicken,wrap?lock=81"
82,Street Food Hub,Shahi Paneer,North Indian,230,3.8,Gwalior,Phalka Bazar,Vegetarian,False,"comfort, happy, social","lunch, dinner",2.5,24,"https://loremflickr.com/800/600/shahi,paneer?lock=82"
83,Royal Biryani,Masala Maggi,Fast Food,80,4.1,Gwalior,Thatipur,Vegetarian,True,"tired, comfort, happy","snacks, dinner",2.5,33,"https://loremflickr.com/800/600/masala,maggi?lock=83"
84,Cafe Aroma,Chicken Momos,Tibetan,180,4.5,Gwalior,Mahalgaon,Non-Vegetarian,True,"adventurous, happy, social","snacks, dinner",4.7,33,"https://loremflickr.com/800/600/chicken,momos?lock=84"
85,Rajasthani Rasoi,Chicken Sandwich,Fast Food,170,3.8,Gwalior,Lashkar,Non-Vegetarian,False,"happy, adventurous","breakfast, snacks",4.8,36,"https://loremflickr.com/800/600/chicken,sandwich?lock=85"
86,Sweet & Savoury,Cold Coffee,Beverage,100,4.3,Gwalior,City Centre,Vegetarian,False,"happy, tired, social",snacks,3.4,31,"https://loremflickr.com/800/600/cold,coffee?lock=86"
87,The Food Factory,Paneer Butter Masala,North Indian,230,4.2,Gwalior,Morar,Vegetarian,False,"comfort, tired, happy","lunch, dinner",3.2,27,"https://loremflickr.com/800/600/paneer,butter,masala?lock=87"
88,Masala Magic,Chicken Tikka,North Indian,300,4.8,Gwalior,Hazira,Non-Vegetarian,True,"adventurous, happy, social","lunch, dinner",3.2,27,"https://loremflickr.com/800/600/chicken,tikka?lock=88"
89,Pizza Craft,Pav Bhaji,Street Food,150,4.0,Gwalior,Thatipur,Vegetarian,True,"happy, comfort, social","snacks, dinner",2.4,30,"https://loremflickr.com/800/600/pav,bhaji?lock=89"
90,Burger Station,Chicken Pizza,Italian,350,4.1,Gwalior,University Road,Non-Vegetarian,True,"happy, adventurous, social","lunch, dinner",5.3,31,"https://loremflickr.com/800/600/chicken,pizza?lock=90"
91,Tandoori House,Rajma Chawal,North Indian,160,4.7,Gwalior,City Centre,Vegetarian,False,"comfort, tired, relaxed",lunch,3.7,35,"https://loremflickr.com/800/600/rajma,chawal?lock=91"
92,The Spice Route,Fish Curry Rice,Indian,290,3.7,Gwalior,Lashkar,Non-Vegetarian,True,"adventurous, healthy","lunch, dinner",4.1,30,"https://loremflickr.com/800/600/fish,curry,rice?lock=92"
93,Gwalior Zaika,Veg Fried Rice,Chinese,170,4.6,Gwalior,Thatipur,Vegetarian,True,"comfort, tired, happy","lunch, dinner",5.5,40,"https://loremflickr.com/800/600/veg,fried,rice?lock=93"
94,Royal Rasoi,Chicken Pasta,Italian,270,3.9,Gwalior,Morar,Non-Vegetarian,False,"comfort, happy, adventurous","lunch, dinner",5.8,35,"https://loremflickr.com/800/600/chicken,pasta?lock=94"
95,Swaad Junction,Chicken Salad,Healthy,210,4.6,Gwalior,Mahalgaon,Non-Vegetarian,False,"healthy, adventurous, tired","lunch, dinner",3.4,34,"https://loremflickr.com/800/600/chicken,salad?lock=95"
96,Urban Tadka,Brownie,Dessert,140,4.1,Gwalior,City Centre,Vegetarian,False,"comfort, happy, tired","snacks, dessert",3.3,34,https://loremflickr.com/800/600/brownie?lock=96
97,Shree Bhojan,Chicken Biryani,Biryani,270,3.7,Gwalior,Phalka Bazar,Non-Vegetarian,True,"happy, adventurous, comfort","lunch, dinner",1.7,22,"https://loremflickr.com/800/600/chicken,biryani?lock=97"
98,Desi Zaika,Masala Dosa,South Indian,170,3.8,Gwalior,Hazira,Vegetarian,True,"healthy, tired, relaxed","breakfast, lunch",6.9,38,"https://loremflickr.com/800/600/masala,dosa?lock=98"
99,Food Street Gwalior,Dahi Puri,Street Food,120,4.1,Gwalior,Thatipur,Vegetarian,True,"happy, social, relaxed",snacks,5.9,38,"https://loremflickr.com/800/600/dahi,puri?lock=99"
100,The Green Bowl,Chicken Wrap,Fast Food,200,3.8,Gwalior,University Road,Non-Vegetarian,True,"adventurous, happy","lunch, snacks",6.9,36,"https://loremflickr.com/800/600/chicken,wrap?lock=100"
101,Curry Culture,Shahi Paneer,North Indian,250,3.7,Gwalior,Lashkar,Vegetarian,False,"comfort, happy, social","lunch, dinner",3.6,28,"https://loremflickr.com/800/600/shahi,paneer?lock=101"
102,Madhya Rasoi,Masala Maggi,Fast Food,130,4.0,Gwalior,Morar,Vegetarian,True,"tired, comfort, happy","snacks, dinner",5.4,36,"https://loremflickr.com/800/600/masala,maggi?lock=102"
103,Chai & Bites,Chicken Momos,Tibetan,190,4.7,Gwalior,City Centre,Non-Vegetarian,True,"adventurous, happy, social","snacks, dinner",1.7,19,"https://loremflickr.com/800/600/chicken,momos?lock=103"
104,Indore Namkeen House,Chicken Sandwich,Fast Food,190,3.7,Gwalior,Thatipur,Non-Vegetarian,False,"happy, adventurous","breakfast, snacks",5.7,37,"https://loremflickr.com/800/600/chicken,sandwich?lock=104"
105,The Dosa Corner,Cold Coffee,Beverage,130,4.7,Gwalior,Mahalgaon,Vegetarian,False,"happy, tired, social",snacks,5.4,32,"https://loremflickr.com/800/600/cold,coffee?lock=105"
106,Punjab Grill House,Paneer Butter Masala,North Indian,240,3.8,Gwalior,Lashkar,Vegetarian,False,"comfort, tired, happy","lunch, dinner",3.8,29,"https://loremflickr.com/800/600/paneer,butter,masala?lock=106"
107,South Spice,Chicken Tikka,North Indian,270,4.4,Gwalior,University Road,Non-Vegetarian,True,"adventurous, happy, social","lunch, dinner",3.1,34,"https://loremflickr.com/800/600/chicken,tikka?lock=107"
108,Cafe Central,Pav Bhaji,Street Food,140,4.0,Gwalior,City Centre,Vegetarian,True,"happy, comfort, social","snacks, dinner",2.3,25,"https://loremflickr.com/800/600/pav,bhaji?lock=108"
109,Flavours of India,Chicken Pizza,Italian,320,4.3,Gwalior,Morar,Non-Vegetarian,True,"happy, adventurous, social","lunch, dinner",3.8,33,"https://loremflickr.com/800/600/chicken,pizza?lock=109"
110,Biryani Junction,Jain Thali,North Indian,230,4.4,Gwalior,Hazira,Jain,False,"healthy, relaxed, comfort","lunch, dinner",7.5,44,"https://loremflickr.com/800/600/jain,thali?lock=110"
111,Healthy Plate,Egg Curry,North Indian,190,4.1,Gwalior,University Road,Non-Vegetarian,True,"comfort, tired","lunch, dinner",6.3,36,"https://loremflickr.com/800/600/egg,curry?lock=111"
112,Street Food Hub,Hakka Spring Rolls,Chinese,140,4.2,Gwalior,Phalka Bazar,Vegetarian,True,"adventurous, happy, social",snacks,3.0,31,"https://loremflickr.com/800/600/hakka,spring,rolls?lock=112"
113,Royal Biryani,White Sauce Pasta,Italian,230,4.2,Gwalior,Thatipur,Vegetarian,False,"comfort, tired, happy","lunch, dinner",4.7,34,"https://loremflickr.com/800/600/white,sauce,pasta?lock=113"
114,Cafe Aroma,Paneer Salad,Healthy,220,4.7,Gwalior,Mahalgaon,Vegetarian,False,"healthy, relaxed, tired","lunch, dinner",5.7,32,"https://loremflickr.com/800/600/paneer,salad?lock=114"
115,Rajasthani Rasoi,Rasmalai,Dessert,100,4.0,Gwalior,Lashkar,Vegetarian,False,"happy, relaxed, social","snacks, dinner",3.8,32,https://loremflickr.com/800/600/rasmalai?lock=115
116,Sweet & Savoury,Veg Biryani,Biryani,190,4.6,Gwalior,City Centre,Vegetarian,True,"comfort, happy, tired","lunch, dinner",3.2,31,"https://loremflickr.com/800/600/veg,biryani?lock=116"
117,The Food Factory,Veg Manchurian,Chinese,160,4.6,Gwalior,Morar,Vegetarian,True,"happy, adventurous, comfort","snacks, dinner",3.6,24,"https://loremflickr.com/800/600/veg,manchurian?lock=117"
118,Masala Magic,Raj Kachori,Street Food,120,4.4,Gwalior,Hazira,Vegetarian,True,"adventurous, happy, social",snacks,6.8,39,"https://loremflickr.com/800/600/raj,kachori?lock=118"
119,Pizza Craft,Paneer Wrap,Fast Food,190,4.3,Gwalior,Thatipur,Vegetarian,True,"tired, healthy, happy","lunch, snacks",4.9,33,"https://loremflickr.com/800/600/paneer,wrap?lock=119"
120,Burger Station,Palak Paneer,North Indian,230,4.0,Gwalior,University Road,Vegetarian,False,"healthy, comfort, relaxed","lunch, dinner",5.5,30,"https://loremflickr.com/800/600/palak,paneer?lock=120"
121,Tandoori House,Masala Maggi,Fast Food,130,4.6,Gwalior,City Centre,Vegetarian,True,"tired, comfort, happy","snacks, dinner",3.5,34,"https://loremflickr.com/800/600/masala,maggi?lock=121"
122,The Spice Route,Chicken Momos,Tibetan,180,3.9,Gwalior,Lashkar,Non-Vegetarian,True,"adventurous, happy, social","snacks, dinner",4.9,34,"https://loremflickr.com/800/600/chicken,momos?lock=122"
123,Gwalior Zaika,Chicken Sandwich,Fast Food,170,4.3,Gwalior,Thatipur,Non-Vegetarian,False,"happy, adventurous","breakfast, snacks",5.7,32,"https://loremflickr.com/800/600/chicken,sandwich?lock=123"
124,Royal Rasoi,Cold Coffee,Beverage,100,4.6,Gwalior,Morar,Vegetarian,False,"happy, tired, social",snacks,5.7,43,"https://loremflickr.com/800/600/cold,coffee?lock=124"
125,Swaad Junction,Paneer Butter Masala,North Indian,250,4.0,Gwalior,Mahalgaon,Vegetarian,False,"comfort, tired, happy","lunch, dinner",5.5,35,"https://loremflickr.com/800/600/paneer,butter,masala?lock=125"
126,Urban Tadka,Chicken Tikka,North Indian,300,4.5,Gwalior,City Centre,Non-Vegetarian,True,"adventurous, happy, social","lunch, dinner",2.5,31,"https://loremflickr.com/800/600/chicken,tikka?lock=126"
127,Shree Bhojan,Pav Bhaji,Street Food,140,4.2,Gwalior,Phalka Bazar,Vegetarian,True,"happy, comfort, social","snacks, dinner",1.6,29,"https://loremflickr.com/800/600/pav,bhaji?lock=127"
128,Desi Zaika,Chicken Pizza,Italian,320,4.0,Gwalior,Hazira,Non-Vegetarian,True,"happy, adventurous, social","lunch, dinner",4.2,34,"https://loremflickr.com/800/600/chicken,pizza?lock=128"
129,Food Street Gwalior,Jain Thali,North Indian,260,4.6,Gwalior,Thatipur,Jain,False,"healthy, relaxed, comfort","lunch, dinner",3.9,28,"https://loremflickr.com/800/600/jain,thali?lock=129"
130,The Green Bowl,Egg Curry,North Indian,190,3.8,Gwalior,University Road,Non-Vegetarian,True,"comfort, tired","lunch, dinner",3.8,28,"https://loremflickr.com/800/600/egg,curry?lock=130"
131,Curry Culture,Hakka Spring Rolls,Chinese,150,4.7,Gwalior,Lashkar,Vegetarian,True,"adventurous, happy, social",snacks,1.8,20,"https://loremflickr.com/800/600/hakka,spring,rolls?lock=131"
132,Madhya Rasoi,White Sauce Pasta,Italian,230,4.5,Gwalior,Morar,Vegetarian,False,"comfort, tired, happy","lunch, dinner",5.8,31,"https://loremflickr.com/800/600/white,sauce,pasta?lock=132"
